0,1,2,3,4,5,6,7,8
Indiana Pacers,96,Houston Rockets,104,Box Score,,,,
Phoenix Suns,83,New Jersey Nets,115,Box Score,,,,
Cleveland Cavaliers,93,Philadelphia 76ers,108,Box Score,,,,
Denver Nuggets,119,San Antonio Spurs,114,Box Score,,,,
Kansas City Kings,110,Seattle SuperSonics,116,Box Score,,,,
Phoenix Suns,121,Boston Celtics,111,Box Score,,,,"at Hartford, CT"
New Jersey Nets,94,Cleveland Cavaliers,110,Box Score,,,,
New Orleans Jazz,116,Milwaukee Bucks,109,Box Score,,,,
New York Knicks,99,Chicago Bulls,97,Box Score,,,,
Detroit Pistons,106,Golden State Warriors,107,Box Score,,,,
Milwaukee Bucks,103,Houston Rockets,101,Box Score,,,,
San Antonio Spurs,110,New Jersey Nets,105,Box Score,,,,
Atlanta Hawks,94,New Orleans Jazz,96,Box Score,,,,
Los Angeles Lakers,110,Philadelphia 76ers,123,Box Score,,,,
Indiana Pacers,114,Washington Bullets,146,Box Score,,,,
Houston Rockets,83,Atlanta Hawks,106,Box Score,,,,
Phoenix Suns,107,Buffalo Braves,97,Box Score,,,,
San Antonio Spurs,109,Cleveland Cavaliers,107,Box Score,OT,,,
New York Knicks,100,Kansas City Kings,93,Box Score,,,,
Detroit Pistons,105,Portland Trail Blazers,109,Box Score,,,,
Chicago Bulls,104,Denver Nuggets,109,Box Score,,,,
Los Angeles Lakers,103,Indiana Pacers,104,Box Score,,,,
Kansas City Kings,123,Milwaukee Bucks,133,Box Score,,,,
Washington Bullets,99,New Jersey Nets,98,Box Score,,,,
Boston Celtics,91,Philadelphia 76ers,94,Box Score,,,,
New Orleans Jazz,100,Portland Trail Blazers,122,Box Score,,,,
Golden State Warriors,91,Seattle SuperSonics,99,Box Score,,,,
Los Angeles Lakers,106,Chicago Bulls,110,Box Score,,,,
New Orleans Jazz,110,Denver Nuggets,115,Box Score,OT,,,
Indiana Pacers,103,Milwaukee Bucks,125,Box Score,,,,
Houston Rockets,80,Philadelphia 76ers,95,Box Score,,,,
New York Knicks,113,Portland Trail Blazers,126,Box Score,,,,
Kansas City Kings,115,Washington Bullets,123,Box Score,,,,
Washington Bullets,95,Atlanta Hawks,100,Box Score,,,,"at Charlotte, NC"
Houston Rockets,88,Boston Celtics,91,Box Score,,,,
Los Angeles Lakers,94,Kansas City Kings,102,Box Score,,,,
Golden State Warriors,103,New Jersey Nets,92,Box Score,,,,
New Orleans Jazz,99,Phoenix Suns,142,Box Score,,,,
Milwaukee Bucks,106,San Antonio Spurs,130,Box Score,,,,
Detroit Pistons,100,Seattle SuperSonics,106,Box Score,,,,
Indiana Pacers,92,Buffalo Braves,111,Box Score,,,,
Denver Nuggets,109,Houston Rockets,106,Box Score,,,,
