,0,1,2,3,4,5,6,7,8
240,Denver Nuggets,111.0,Los Angeles Lakers,109.0,Box Score,,,,
241,New Jersey Nets,118.0,Milwaukee Bucks,134.0,Box Score,OT,,,
242,Atlanta Hawks,96.0,Phoenix Suns,89.0,Box Score,,,,
243,Atlanta Hawks,88.0,Seattle SuperSonics,99.0,Box Score,,,,
244,New Orleans Jazz,90.0,Buffalo Braves,113.0,Box Score,,,,
245,Washington Bullets,108.0,Chicago Bulls,116.0,Box Score,,,,
246,Portland Trail Blazers,116.0,Cleveland Cavaliers,94.0,Box Score,,,,
247,Houston Rockets,105.0,Golden State Warriors,107.0,Box Score,,,,
248,Phoenix Suns,103.0,Kansas City Kings,92.0,Box Score,,,,
249,Milwaukee Bucks,108.0,Los Angeles Lakers,109.0,Box Score,,,,
250,Boston Celtics,119.0,New York Knicks,122.0,Box Score,OT,,,
251,Kansas City Kings,109.0,Boston Celtics,113.0,Box Score,,,,
252,Atlanta Hawks,116.0,Denver Nuggets,123.0,Box Score,,,,
253,Phoenix Suns,113.0,Detroit Pistons,107.0,Box Score,OT,,,
254,New Orleans Jazz,103.0,Indiana Pacers,118.0,Box Score,,,,
255,San Antonio Spurs,125.0,New Jersey Nets,122.0,Box Score,,,,
256,Portland Trail Blazers,100.0,Philadelphia 76ers,122.0,Box Score,,,,
257,Cleveland Cavaliers,95.0,Washington Bullets,96.0,Box Score,,,,
258,New Jersey Nets,78.0,Chicago Bulls,104.0,Box Score,,,,
259,Milwaukee Bucks,117.0,Golden State Warriors,116.0,Box Score,,,,
260,New York Knicks,103.0,Atlanta Hawks,84.0,Box Score,,,,
261,Portland Trail Blazers,118.0,Boston Celtics,87.0,Box Score,,,,
262,Houston Rockets,116.0,Los Angeles Lakers,105.0,Box Score,,,,The Punch
263,Kansas City Kings,114.0,New Jersey Nets,122.0,Box Score,,,,
264,San Antonio Spurs,116.0,Philadelphia 76ers,120.0,Box Score,,,,
265,Milwaukee Bucks,123.0,Seattle SuperSonics,136.0,Box Score,,,,
266,New Orleans Jazz,97.0,Washington Bullets,101.0,Box Score,,,,
267,San Antonio Spurs,119.0,Chicago Bulls,121.0,Box Score,,,,
268,Atlanta Hawks,87.0,Cleveland Cavaliers,102.0,Box Score,,,,
269,Milwaukee Bucks,111.0,Denver Nuggets,118.0,Box Score,,,,
270,New Orleans Jazz,86.0,Detroit Pistons,104.0,Box Score,,,,
271,Philadelphia 76ers,108.0,Indiana Pacers,114.0,Box Score,OT,,,
272,Golden State Warriors,97.0,Kansas City Kings,92.0,Box Score,OT,,,
273,Portland Trail Blazers,107.0,New York Knicks,106.0,Box Score,,,,
274,Houston Rockets,93.0,Phoenix Suns,110.0,Box Score,,,,
275,Buffalo Braves,119.0,Los Angeles Lakers,124.0,Box Score,OT,,,
276,Houston Rockets,84.0,Seattle SuperSonics,116.0,Box Score,,,,
277,New Jersey Nets,106.0,Washington Bullets,95.0,Box Score,,,,
278,New Jersey Nets,108.0,Boston Celtics,122.0,Box Score,,,,"at Hartford, CT"
279,Denver Nuggets,96.0,Chicago Bulls,99.0,Box Score,,,,
280,Seattle SuperSonics,104.0,Cleveland Cavaliers,116.0,Box Score,,,,
281,Philadelphia 76ers,117.0,Milwaukee Bucks,129.0,Box Score,,,,
282,Los Angeles Lakers,94.0,New Orleans Jazz,117.0,Box Score,,,,
283,Atlanta Hawks,106.0,New York Knicks,107.0,Box Score,,,,
284,Buffalo Braves,108.0,Portland Trail Blazers,111.0,Box Score,,,,
285,Golden State Warriors,96.0,Washington Bullets,102.0,Box Score,,,,
286,Seattle SuperSonics,102.0,Detroit Pistons,92.0,Box Score,,,,
287,Los Angeles Lakers,113.0,Houston Rockets,91.0,Box Score,,,,
288,New York Knicks,101.0,Indiana Pacers,98.0,Box Score,,,,
289,Denver Nuggets,98.0,Kansas City Kings,124.0,Box Score,,,,
290,Golden State Warriors,104.0,New Jersey Nets,108.0,Box Score,,,,
291,Atlanta Hawks,108.0,Philadelphia 76ers,99.0,Box Score,,,,
292,Buffalo Braves,103.0,Phoenix Suns,113.0,Box Score,,,,
293,Chicago Bulls,108.0,San Antonio Spurs,116.0,Box Score,,,,
294,San Antonio Spurs,99.0,Atlanta Hawks,115.0,Box Score,,,,
295,Golden State Warriors,113.0,Boston Celtics,118.0,Box Score,,,,
296,Philadelphia 76ers,110.0,Chicago Bulls,115.0,Box Score,,,,
297,Washington Bullets,117.0,Denver Nuggets,112.0,Box Score,OT,,,
298,Detroit Pistons,106.0,Indiana Pacers,114.0,Box Score,OT,,,
299,Seattle SuperSonics,98.0,Los Angeles Lakers,90.0,Box Score,,,,
300,New York Knicks,150.0,Milwaukee Bucks,152.0,Box Score,3OT,,,
